X,Y,OBJECTID,NAME,LINES,ACCESSIBILITY,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
540409.114,185311.626399999,381,Forest Gate,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Forest Gate station
543515.8596,186487.352399999,382,Ilford,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Ilford station
545384.0476,187089.397500001,383,Seven Kings,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Seven Kings station
546470.5894,187325.4033,401,Goodmayes,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Goodmayes station
551323.363,188458.677100001,402,Romford,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Romford station
552957.6082,189327.987400001,403,Gidea Park,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Gidea Park station
540872.7513,180939.057800001,404,Custom House,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Custom House station
539193.9472,184915.748600001,405,Maryland,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Maryland station
547314.9825,179034.7598,406,Abbey Wood,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Abbey Wood station
543951.5249,179004.5274,407,Woolwich,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Woolwich station
532851.5216,181597.8254,408,Liverpool Street,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Liverpool Street station
534734.8138,181931.0482,409,Whitechapel,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Whitechapel station
538511.1599,184391.982999999,410,Stratford,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Stratford station
526538.0067,181269.878900001,411,Paddington,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Paddington station
529657.874,181252.761,412,Tottenham Court Road,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Tottenham Court Road station
528725.735,181036.7629,413,Bond Street,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Bond Street station
531762.9134,181817.2675,414,Farringdon,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Farringdon station
554888.3146,190653.3051,415,Harold Wood,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Harold Wood station
559401.7384,193032.175899999,416,Brentwood,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Brentwood station
501336.6079,179763.8399,417,Langley,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Langley station
497851.1075,180181.1819,418,Slough,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Slough station
493953.6767,181375.304400001,419,Burnham,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Burnham station
491596.3554,181302.7585,420,Taplow,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Taplow station
503774.5112,179908.3325,421,Iver,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Iver station
488713.4349,180713.2754,422,Maidenhead,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Maidenhead station
508056.5597,174503.7634,423,Heathrow Terminal 4,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Heathrow Terminal 4 station
506153.978,180102.356799999,424,West Drayton,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,West Drayton station
512729.6424,179827.4793,425,Southall,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Southall station
515408.8897,180514.715700001,426,Hanwell,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Hanwell station
520300.2785,181217.9925,427,Acton Main Line,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Acton Main Line station
507493.2047,175905.6667,428,Heathrow Terminals 1-2-3,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Heathrow Terminals 1-2-3 station
517952.9321,180902.9362,429,Ealing Broadway,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Ealing Broadway station
479053.0293,175777.6775,430,Twyford,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Twyford station
471456.4223,173854.3511,431,Reading,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Reading station
505109.3841,175923.8204,432,Heathrow Terminal 5,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Heathrow Terminal 5 station
541906.0795,185683.2403,503,Manor Park,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Manor Park station
547602.7066,187606.6767,504,Chadwell Heath,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Chadwell Heath station
537706.7181,180438.080600001,505,Canary Wharf,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Canary Wharf station
561346.241,194989.327,506,Shenfield,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Shenfield station
509804.823,179417.5529,507,Hayes & Harlington,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,Hayes & Harlington station
516594.9246,180729.661900001,508,West Ealing,Elizabeth Line,Fully Accessible,TfL Rail,2022/05/26 00:00:00+00,West Ealing station
