label,lat,lon,total_reduction
Grid_38,51.56441418,-0.136642629,34855829820
Grid_45,51.56418432,-0.122223859,34186506900
Grid_40,51.54644093,-0.137377025,33611450640
Grid_36,51.54666888,-0.15179031,29680543140
Grid_15,51.53745429,-0.137743938,23716727751
Grid_20,51.51807747,-0.052052538,9499433460
Grid_26,51.49962331,-0.024023668,8006386080
Grid_33,51.52914572,-0.181334069,6981837000
Grid_12,51.46244524,0.04635147,4642245480
Grid_24,51.54356758,0.035567128,3799279800
Grid_9,51.5381326,-0.18097585,3390343200
Grid_34,51.52658157,-0.022856705,2988719640
Grid_18,51.55610631,-0.180258854,2955938820
Grid_41,51.54689505,-0.166203784,2941599660
Grid_30,51.58849597,0.0375749,2577834360
Grid_25,51.52559611,0.034765476,1960077240
Grid_5,51.42650198,0.044745174,1345019760
Grid_39,51.53835516,-0.195386861,1079424720
Grid_35,51.44371288,0.088685464,928924620
Grid_31,51.52958893,-0.210150606,751883760
Grid_10,51.48759984,0.148308459,619826460
Grid_48,51.55449779,-0.079347354,592470420
Grid_4,51.45938998,-0.32805674,535258860
Grid_19,51.52936821,-0.195742245,262127040
Grid_22,51.54597973,-0.108551028,233026800
Grid_47,51.53879498,-0.224209434,218487960
Grid_44,51.57223339,-0.064169032,177444240
Grid_11,51.52823806,-0.123703235,164519280
Grid_32,51.56324716,-0.064550714,130121460
Grid_28,51.53433099,0.04957406,128080200
Grid_3,51.5270637,-0.051669013,111028500
Grid_17,51.53699324,-0.108923611,104055840
Grid_6,51.50081421,-0.096013467,101766360
Grid_43,51.55473289,-0.093762705,100672140
Grid_27,51.50412189,-0.312011239,77095380
Grid_21,51.53676006,-0.094513737,68814480
Grid_42,51.53628839,-0.065694574,56235060
Grid_14,51.52730211,-0.066075465,50058720
Grid_46,51.49252082,-0.139575649,42663720
Grid_37,51.53652511,-0.080104057,35240280
Grid_16,51.48189261,-0.039192546,7326720
Grid_2,51.5450361,-0.050901364,191400
Grid_13,51.40354928,-0.200698346,0
Grid_8,51.59378784,-0.294252123,0
Grid_7,51.39250588,-0.071765223,0
Grid_1,51.3487311,-0.145405363,0
Grid_0,51.51451739,-0.412511387,0
Grid_23,51.52038125,-0.196097446,0
Grid_29,51.61740167,-0.076692699,0
Grid_49,51.48443323,-0.197516408,0
